Weather Station ID,Country,Name,Latitude,Longitude,Elevation,ICAO ID,WMO ID,IATA ID,Time Zone
1430,NO,Mandal Iii / Risørbank,58.0244,7.4517,10.0,,1430.0,,Europe/Oslo
1431,NO,Sirdal-sinnes / Haugen,58.9228,6.9094,560.0,,1431.0,,Europe/Oslo
1440,NO,Hylestad-Brokke / Dysje,59.3428,6.8733,1050.0,,1440.0,,Europe/Oslo
1444,NO,Valle / Viken,59.2017,7.5328,302.0,,1444.0,,Europe/Oslo
1445,NO,Skafsa / Kleivi,59.45,8.0,77.0,,1445.0,,Europe/Oslo
1447,NO,Hoydalsmo Ii / Ofte,59.4969,8.1992,560.0,,1447.0,,Europe/Oslo
1449,NO,Gjerstad / Høggto,58.87,9.0264,32.0,,1449.0,,Europe/Oslo
1463,NO,As / Holstad,59.6606,10.7819,83.0,,1463.0,,Europe/Oslo
1464,NO,Landvik / Tjore,58.34,8.5225,4.0,,1464.0,,Europe/Oslo
1466,NO,Kjeller Ap,59.9708,11.0383,108.0,,1466.0,,Europe/Oslo
1468,NO,Kongsvinger / Holt,60.1903,12.0067,148.0,,1468.0,,Europe/Oslo
1469,NO,Honefoss Hoyby / Oppen,60.1664,10.2478,140.0,,1469.0,,Europe/Oslo
1470,NO,Gvarv / Lindem,59.3831,9.2011,93.0,,1470.0,,Europe/Oslo
1471,NO,Veggli Ii,60.0433,9.1467,275.0,,1471.0,,Europe/Oslo
1473,NO,Kongsberg Brannstas / Landsverk,59.6244,9.6375,173.0,,1473.0,,Europe/Oslo
1478,NO,Svenner Lh / Stavern,58.9686,10.1478,15.0,,1478.0,,Europe/Oslo
1480,NO,Drammen Berskog / Konnerudkollen,59.7536,10.1236,8.0,,1480.0,,Europe/Oslo
1481,NO,Melsom,59.2297,10.3481,26.0,,1481.0,,Europe/Oslo
1484,NO,Jeloy Island / Haneborg,59.9119,11.58,128.0,,1484.0,,Europe/Oslo
1486,NO,Asker / Hvalstad,59.8558,10.4344,163.0,,1486.0,,Europe/Oslo
1487,NO,Donski / Slattum,59.9228,10.8342,90.0,,1487.0,,Europe/Oslo
1489,NO,Bjornholt / Bjørnholt,60.0514,10.6878,330.0,,1489.0,,Europe/Oslo
1493,NO,Sarpsborg / Sandesund,59.2856,11.1147,57.0,,1493.0,,Europe/Oslo
1499,NO,Vaeroy / Nordland,67.6833,12.6833,11.0,,1499.0,,Europe/Oslo
2013,SE,Ritsem / Akkastugan,67.7269,17.4711,542.0,,2013.0,,Europe/Stockholm
2019,SE,Katterjakk / Lapplandia,68.4203,18.1681,514.0,,2019.0,,Europe/Stockholm
2023,SE,Tornehamn / Björkliden,68.4333,18.6333,512.0,,2023.0,,Europe/Stockholm
2024,SE,Stora Sjoefallet / Vietas,67.4964,18.2944,426.0,,2024.0,,Europe/Stockholm
2026,SE,Aluokta / Ruokto,67.3167,18.8833,385.0,,2026.0,,Europe/Stockholm
2029,SE,Tarfala,67.9114,18.6072,1145.0,,2029.0,,Europe/Stockholm
2031,SE,Rensjoen / Rautas,68.0747,19.8394,494.0,,2031.0,,Europe/Stockholm
2038,SE,Latnivaara / Ladnivare,67.2564,20.2747,453.0,,2038.0,,Europe/Stockholm
2048,SE,Malmberget,67.1667,20.6667,375.0,,2048.0,,Europe/Stockholm
2051,SE,Karesuando / Kaaresuvanto,68.45,22.5,327.0,,2051.0,,Europe/Stockholm
2052,SE,Kvikkjokk,66.95,17.75,337.0,,2052.0,,Europe/Stockholm
2055,SE,Naimakka / Siikavuopio,68.6778,21.5275,402.0,,2055.0,,Europe/Stockholm
2060,SE,Naimakka / Siikavuopio,68.6833,21.5333,403.0,,2060.0,,Europe/Stockholm
2064,SE,Saittarova,67.3378,22.2336,240.0,,2064.0,,Europe/Stockholm
2070,SE,Gustavsfors,60.15,13.8,198.0,,2070.0,,Europe/Stockholm
2071,SE,Romme,58.5822,16.1486,55.0,,2071.0,,Europe/Stockholm
2072,SE,Porkalompolo / Parkalompolo,67.7317,22.8269,312.0,,2072.0,,Europe/Stockholm
2081,SE,Karesuando,68.4419,22.4436,330.0,,2081.0,,Europe/Stockholm
2083,SE,Gotska Sandon / Lauters,58.4,19.2,12.0,,2083.0,,Europe/Stockholm
2084,SE,Lannavaara,68.05,22.0,360.0,,2084.0,,Europe/Stockholm
